text,label
"Student class中的變數name、age、height、weight、bmi沒有初始化。
宣告的變數bmi要是小寫，不能是大寫。
",0
第一題@param前面應有空行,0
輸入200回傳F,0
請不要交白卷,0
有寫JavaDoc (但你第二建構子的JavaDoc好像怪怪的，不是4個都是預設嗎,0
不錯,1
輸出小問題，!太多了,0
讚 註解都符合規範,0
"Please re-enter the gesture 少句號
正確 -> Please re-enter the gesture.",0
不符合！,1
是的!,1
否，沒有JavaDoc。,0
類別命名符合規範,0
縮排都錯了,0
要print出 Hello World!,0
main 上面的註解少了 @param args,0
隨機生成 OrderCake 或 ReadyMadeCake再要求使用者輸入所需資料，而非輸入全部資料後生成物件,0
"第11行應寫為
* print out average
請與上方的敘述排版一致",0
是的，符合撰寫標準。,0
有符合JavaDoc規範，能理解該類別或該方法的規格,0
還沒好。,1
Didn't finish the homework,0
是 非常整齊,1
是，你超棒！感覺是學過 java 的人,1
沒有打 javaDoc,0
繳白卷了,1
每個檔案皆未符合java google style,0
寫得很好,1
很棒有符合條件!!,0
Main.java的54行會強制離開while迴圈，因此平手時遊戲會直接結束，不會自動重啟,0
有阿,1
GOOD.,1
是的，整齊,1
正確且當輸入錯誤會有提示,0
Good 變數命名符合標準,0
排版不整齊，大括號與大括號之間空了好幾行，應該把空行去除。,0
不符合題目要求,0
不符合Google Checkstyle的規範,0
scanner忘了close,0
變數沒初始化喔,0
"否，蛋糕名稱用nextLine()才能輸入蛋糕全名，且沒有輸出全部蛋糕的name和rate
最後輸出總價格那邊可以用%f來輸出小數點",0
有，太強了!,1
下次注意要記得寫,0
已成功更改輸出toString內的結果,0
"局數只需輸入一次，""Game Tie""後延續之前輸入的局數再次進行即可。AdvancedGame.java中無須寫generateGestureByRandom()函式，題目要求使用繼承方法去運用PlayGenerator.java中的generateGestureByRandom()函式，請詳閱作業說明。",0
要用styel check來檢查,0
"最後多輸出一個 請輸入成績:
輸入為無效成績，請重新輸入 你多了一個 :
平均成績的輸出要到小數點後兩位喔 ",0
加油,1
空格要空正確喔,0
可以加上註解會更容易理解 code,0
有符合 超棒,1
沒有排列整齊，Googlecheckstydle 出現錯誤,0
JavaDoc易懂,0
是的，,1
有個地方錯了 你的程式寫法是贏一場平手 贏兩場算贏 都沒贏算輸 但是一場贏一場輸一場平手是算平手的 而三場都沒贏也有可能是三場都平手,0
Good 符合標準,0
外觀看起來滿棒 但checkstyle說縮排不行,0
Main 函式中未依題目要求使用建構子生成物件，且身高的單位不一致。,0
完全沒問題，是好看的！,1
沒有寫。,1
GeneralGame.;java中的變數xx，請使用有意義的命名。,0
grade是要輸入的值，讓它等於零是多餘的,0
Class PlayGenerator裡的Javadoc @return前面要有一個空行，不然CheckStyle會報錯,0
不同於%.2f 反而用的Math.round 很酷又很棒!!,0
中規中矩,1
否，請輸入的字樣只需要出現一次。,0
Google Checks有許多不符合規定,0
執行解果符合，但變數設置太多,0
"line51:System.out.printf(""Score Average: %.2f"" + average); 
MissingFormatArgumentException, should replace '+' with ','",0
我覺得蠻整齊的,1
輸出結果符合題目要求,0
輸入及輸出結果符合要求,0
我只輸入第一筆就結束了,0
是，輸出結果符合標準,0
"你 main method 的 if(count == 3) 跟 else 的最後，你println呼叫過一次play()，後面的if(generalGame.play(user).equals(""You win!"") || generalGame.play(user).equals(""You lose!""))又呼叫一次play()時，他會讓系統再重新生成猜拳手勢，跟使用者原本輸入的手勢，再去比較一次，導致輸出錯誤",0
Good，有達成,1
是，寫得很棒~,1
Please re-enter game count.(3 or 5) 後面要緊跟著Please enter game count.(3 or 5),0
Good 有整齊,1
你寫的很棒~,1
很整齊 但沒有符合規定,0
有寫JavaDoc,0
繳白卷哦....,1
中規中矩，符合要求,0
排版整齊乾淨,0
Main中同學自訂的所有cake總價之變數型態應為double而非int,0
空格要用space不是tab喔~,0
非常整齊，格式也正確,0
沒有寫作業,0
Game.java 的第38、39行縮排要在37行的if後，正確的話要像42、43行一樣,0
Greet 檔案的排版為四個空格，不符合Google coding style,0
符合題目要求,0
不符合JAVADOC要求,0
開頭名稱不能大寫，要利用雙駝峰命名法,0
一樣空的,1
"否，當遊戲結果為輸時，回傳的結果是""You lose!""，而不是""You Lose""，少了驚嘆號及字母L應為小寫。還有""Please enter the gesture""和""Please re-enter the gesture""，均缺少了句點。",0
有點醜 但 check style 有過,0
有些變數命名意義不明,0
做的很棒,1
有符合標準，註解寫得很詳細，可以把註解寫在那行˙程式碼後面比較方便閱讀,0
"以下為你的 第二題 輸出：
Hello 
""Class""
14;9;true;true
HeLLo 
""CLass""",0
String少句點,0
你的程式碼是要我火烤後才顯示嗎?,0
是，排版整齊。,0
"compare沒有將每輪系統生成之手勢與使用者輸入之手勢相比較並將結果存入字串陣列中
然後Game tie 後面沒有 ! 喔~",0
Game和Gesture類別有些地方沒有加空格。,0
有！,1
體重輸入0.9會有問題,0
請寫完整程式碼,0
題目只要求印出成績相對應的A-F，不用印出成績,0
創建電腦手勢時，其中的switch 未加break，導致電腦只會出三個剪刀,0
Hello world 沒有打驚嘆號,0
"排版不太整齊喔
",0
沒有印東西出來喔,0
命名方式正確,0
有歸零 讚讚,0
檔案開啟裡面除了助教他們預設的東西，沒有其他程式碼,0
Game.java中class的javaDoc應與前行的import隔一空行,0
輸出平均沒到小數點後第2位,0
sysGesture是不用建Setter的喔,0
ANDY!後面要加空白,0
非常整齊、清楚,0
Javadoc符合規範,0
全都符合題目要求,0
執行結果符合，但變數設置過多,0
"沒有對變數進行初始化，double宣告後要初始化，ex: double height = 0.0;
在實習課第四章第42頁有範例",0
太神啦,1
輸出結果符合要求,0
每行註解前記得要空格，否則Google Checks會錯,0
"否，當輸出結果為""Game tie""時，會直接結束遊戲，但題目要求若遊戲結果為平手，則需重複遊戲直到分出勝負。",0
讚喔,1
可,1
是，有適當的命名,0
讚讚,1
執行結果皆符合，但Greet變數未符合,0
public int getQuantity() 忘記註解的@return // @return or @param 前面都要空一行,0
變數aG不符checkStyle規定,0
是，做得好,1
"way 記得轉成double
",0
Good 符合要求,1
google check檢測到大量錯誤,0
很棒 符合題目敘述 但是變數名稱可以取更淺顯易懂一點:D,0
改的很棒,0
同學忘記寫作業囉,0
題目有達到要求,0
"public void setAll(String name, double rate)忘記@param name & rate // public static void main(String[] args) + @param args // public void setQuantity(int quantity) + @param quantity",0
平手後沒有重複遊戲直到分出勝負,0
忘記打註解了,0
市,1
"沒寫

",1
是的，排版整齊,0
"Main檔中rtprice,rquantity,dtemp,itemp變數命名不符合規定",0
是，很整齊,1
符合 讚!,1
PAASSSS,1
並未撰寫JavaDoc,0
???,1
是的!讚喔,1
很精簡，一行,1
有，很棒。,1
兩題都缺少Javadoc,0
nice啦,1
是，但排版沒有照規定,0
根本沒寫,1
正確的應該是scissors 而不是scissor,0
public 的 return要記得註解,0
有初始化,0
是，方法命名符合規定。,0
宣告變數後有初始化,0
有符合題目要求,0
是  有完成,1
有印出指定字串,0
google 表示不開心,0
整齊!,1
沒註解,0
none,1
main上沒有@param args 的註解,0
讚讚連度C度F都有標,0
輸出錯誤局數時，給定文字錯誤,0
score等號那邊沒有空格，google check有顯示。,0
非常棒，符合要求,0
容易閱讀，分行適中,0
"有
",1
程式在Game over後未中止,0
缺少Javadoc,0
我不知道這樣打會不會怎樣，但我還是讓你過,1
Game類別中的compare方法的註解 要加一個@return 解釋回傳的值，雖然startGame方法中的radom樹已經固定了，但記得在swtich內加一個default，不然Check Style不會過,0
輸入錯誤手勢的提示訊息錯誤,0
有的,1
排版很整齊！,0
是 非常完整,1
符合題目要求,0
是 非常棒,1
很整齊但不符合規定 我自己也沒有弄...,0
BAD,1
如果輸入手勢不符合，需重新輸入的話，也要能夠輸入正確count數量的手勢喔,0
"每行輸出的""：""後面要有一個空白鍵",0
gesture沒寫javadoc,0
只有main方法有，類別沒打,0
沒東西怎麼評,1
output bmi 卻寫成 name,0
局數輸錯要輸出Please re-enter game count.(3 or 5)和Please enter game count.(3 or 5)。GeneralGame跟AdvancedGame中如果在if else判斷裡面呼叫generateGestureByRandom() 會重複呼叫出來的值都會不一樣。,0
switch的條件寫法蠻暴力的，可以將分數先除以10再分等第（Ａ～Ｆ）。,0
成績變數是grade吧?,0
很棒 有符合標準,0
"YJK, good!",1
讚 排版很整齊,0
"整齊
",1
很不錯,1
並沒有,1
"請注意無效訊息中的標點符號，應改成這種逗號"" , ""。",0
很好,1
"數學計算的部分，可以自行簡化，不然這樣寫一行解的意義就不見了
但整體來說還是很精簡，做的很棒",0
是，類別命名符合標準,0
"lose and win後要output gameover. 
advanced game 的使用者gesture輸入錯誤應該要重新輸入",0
無JavaDoc,0
符合，讚讚!,1
"主要問題: 作業要求是當使用者輸入錯誤時，只需重新入該項，而非三項都重新輸入

可改可不改的問題: 作業說明是在main 中 getSysGesture 來輸出，而不是在play 中直接輸出",0
符合 ok,1
不符合,1
沒有撰寫JavaDoc,0
沒有寫Java doc 那麼短的時間哪夠寫QQ,0
一行，非常整齊簡潔,0
startgame要改startGame,0
是  註解很詳細,0
命名符合題目要求,0
"否，缺少Gesture.java檔以及Game tie的字樣會一直被印出來。當雙方平手時，並不會出現""Please enter your gesture.""的字樣且每回合的結果都是Game tie，並不會出現""You win!""或是""You lose!""的字樣。而且，不會有遊戲結束的時候。",0
Main.java第42行多打了type，也許修改後忘記push了,0
符合˙,1
Main的instanceof那邊可以打else就好,0
符合要求˙,1
student.java沒有javadoc,0
Student檔案沒寫JavaDoc,0
很棒 都有符合要求,0
有符合，很棒！！！,1
排版整齊，但程式未完成,0
有的，輸出很完美,1
這次似乎好像不需要？,1
正確無誤!,0
沒有對變數進行初始化,0
請補上四個檔案中所有函式的javadoc,0
pass,1
符合題目要求，但程式碼有部分冗餘,0
"Output format is ""Score Average: %.2f\n"" , remember to add space and print newline.",0
是，正確的達到了要求。,0
變數有符合命名,0
VERY  GOOODO,1
"很棒
",1
你寫得很棒喲!,1
"第一題符合
第二題空白",0
有印出要求字串,0
達成題目所需要的內容了 甚至可以自行輸入名字和學號 讚,0
是的，排版整齊乾淨。,0
沒寫,1
"否, random的部分應為(Math.random()*2)出來的質才會是0跟1隨機出現  如果*1會出來都是0  所以根本不會跑出""Please enter cake's quantity:""  也不會進ReadyMakeCake所以""Total price and quantity of all ReadyMakeCake objects""永遠都是0.0  0 ",0
還沒寫完，沒有checkstyle,0
是 變數命名符合標準,0
比對時請忽略大小寫。,0
game.java第38.39行if縮排錯誤,0
很棒 :D,1
第二題的類別Stringoperation的o未改大寫,0
"三個檔案都沒有註解!
",0
整齊，方便閱讀,0
"int grade 跟 int headGrade 那邊可以不用寫=0，因為是Redundant
另外可以不用寫continue那句，不寫的話，程式也可以跑",0
整齊!整齊!,1
"PlayGenerator.class沒有上傳上來，Main.class編譯執行會報錯(java: cannot find symbol
symbol: class PlayGenerator)",0
有符合方法命名,0
有噴錯喔,1
"類別命名正確
",0
是的，符合題目要求 。,0
是的，還會在每行打上解釋程式碼的註解很棒！,0
"Main.java中的第12、18、29、46、64、82、98行，每句句首字母皆須大寫，並且請在句末加上句號。局數輸入錯誤時，需輸出""Please re-enter game count.(3 or 5)""和""Please enter game count.(3 or 5)""共兩行。以上敘述可參考作業說明。
",0
"你的最後一行的print System.out.format(""Score Average:%2f"", avg / 5); 要%.2f 要有小數點才會取餘數到第二位",0
"是，
變數命名為score及average",0
Cake.java中第12、19行前須有一個空行。ReadyMadeCake.java中第6行前須有一個空行。以上，請用CheckStyle確認。,0
完成的不錯,1
很整齊但不符合Google Checkstyle,0
是，有完成，很棒！,1
尷尬 我沒看清楚助教的示意圖 拍謝,1
comges不符合變數命名標準,0
StringOperation.java的JavaDoc的第一句少一個句點,0
輸入大於100程式就有bug,0
強喔,1
閱讀很清楚喔,1
有個小問題，輸出是int型態,0
沒有,1
"good


",1
都是空的...,1
有符合撰寫標準,0
排版整齊,0
你的註解被鯊魚吃了逆?,1
希望下次能寫得更好,1
一開始假如輸入3或5還是會叫我重新輸入,0
是 有符合,1
題目未完成,0
Greet : Javadoc的第一個註解要加句點、@param前要空一行  ;     StringOperation :  @param前也要空一行,0
未完成作業,1
多一個檔案,0
是，命名符合要求,0
GOOD,1
是，有達到題目需求,0
Main 以外的類別都有缺少的Javadoc。,0
class的Java Doc排版不整齊,0
很棒 有符合規範,0
居然有寫,1
是，要求使用者輸入該物件所需資料能夠給個提示會更好。例如:輸入名稱等等,0
"不符合checkstyle格式
",0
還是 沒有 由小 排 到 大 !!!!!!!!!!!!!而且 下載下來中文都是亂碼,0
main class check style 不合,0
當猜拳輸入錯誤應該是當下那一拳不算而已 而不是全部重新算,0
class Main與其JavaDoc應間隔一行,0
是，做得好java人,1
"否  Student Tom,Marry,Sam應命名為字首小寫 可以改為 stdTom,stdMarry,stdSam",0
GOODDDDD!!!,1
沒有東西喔,1
是，有適當命名，不會讓人看不懂,0
沒有內容，故無法判斷,0
main 的 i 沒有進行初始化。,0
平均分數無法輸出,0
排版很整齊~一目了然!讚讚,0
符合，很清楚在表達什麼,0
沒使用變數,0
很棒 符合題目要求 有改正,0
"Output format is ""Score Average: %.2f\n"" , remember to add newline.",0
有印出來，很好,0
厲害,1
沒有JavaDoc,0
Main.java裡面註解縮排有錯喔,0
@param arg 後方無內容,0
完全空白,1
Student.java中的 BMI method不符合googlestyle,0
@return 有非空說明,0
命名符合標準,0
否 排版沒有照Google Check 縮牌沒有縮好,0
LotteryGenerator.java中的第五行: 「int lotteryNumbers = 5;」 應該依題目指示設為靜態常數(int)。,0
沒有宣告平均(double),0
有，100分,1
不符合目的，輸入錯誤的話應該要再重新輸入三次,0
9 - 15行應使用space,0
是的，排版整齊。,0
"Great!
",1
nice,1
寫得真高端,1
有,1
不確定Mary和Sam的年齡要不要和題目要求一致，可以修改一下,0
如果猜拳手勢輸入不符合重新輸入該猜拳手勢就好，不須全部重輸。,0
OK,1
"(選擇性修正)遺漏輸出: ---All system gestures---
(選擇性修正)System gestures 輸出不是小寫(提示: .toLowerCase())",0
getIsTie函式須加上javadoc敘述及@return。compare函式須加上@return,0
JavaDoc可以再多寫點,0
沒改,1
輸出冒號後要空格,0
符合，讚讚,1
是，變數命名符合標準,0
有符合，讚讚，但不用每句都註解,0
"yes
但switch 的 case 10&9可以合併成
case 10, 9:
          System.out.println(""A"");
          break;
會更精簡",0
方法命名正確,0
是，變數宣告正確。,0
"是, what a fucking good code",1
中規中矩有符合題目要求,0
沒完成。 若有完成作業，也許是最後修改的檔案你忘記再push一次,0
不符合JavaDoc ，可以去看助教第41頁,0
註解結尾需要有句點，不然會不符合Google CheckStyle。還有Greet.java的@param上面要空一行,0
"getter 和 setter 可以不同實存在喔
",0
未完成輸出,1
"身高體重輸入無效的訊息中，應改成這種逗號 "" , ""。輸出Name、Age、BMI時，請注意冒號後有一個空格，像是Name: Tom",0
排版整齊，容易理解,0
對 很棒,1
主要邏輯都沒問題，但建議修改輸出 phone brand 的部分，使和題目一樣喔,0
符合Google Style規範,0
是的，你超棒！,1
"當輸入值為100時有錯，
平均輸出前方多了一個$字號。",0
無法執行,0
阿棒棒棒,1
1. Game over要有句號  2. GeneralGame已經繼承PlayGenerator，不用PlayGenerator object = new PlayGenerator();  3. AdvancedGame中的play方法要覆寫@override,0
generateGestureByRandom裡面的變數 computer 沒有用到。,0
程式碼一清二楚好棒>///<,0
作業並未完成撰寫,0
阿你程式碼呢,1
讚讚讚讚,1
空格不符合google 規範,0
超棒的,1
ya,1
是的，恭喜恭喜！,1
是,1
可以加一點註解，注意程式碼要空行,0
有達到要求 very nice,0
Greet那個作業缺少javaDoc,0
棒!詳細,1
宣告變數時，都有做初始化,0
沒問題,1
沒寫，全部空白。,1
有！畢竟沒有變數(?,0
符合題目所敘述 讚讚,0
中文提示字可以多一點 例如重新輸入,0
Please enter your gesture 和 Please re-enter your gesture 沒加句號,0
可以，多做蠻多功能的,0
yeah,1
整齊但tab沒有照規定,0
@param 前面要空一行,0
Game.java 有9項不符合Google Java Style規範,0
有符合lowerCamelCase,0
你寫的超棒~,1
Main.java 中的 double price = scanner.nextInt 應修改為 double price = scanner.nextDouble,0
無達到排版整齊要求,0
Good Job!,1
排版整齊方便閱讀,0
BMI不能超過一個 字母連續大寫,0
是的，乾淨整齊！,1
作業未完成,0
"缺句點
@param應有一個空行",0
每場比賽的結果須回傳到Main再輸出，勿直接在Game.java中輸出，請詳細看作業說明。,0
"lotteryNumbers是6，而不是5
當maxnumber==5時，應該要有輸出值",0
"是，很乾淨
",1
是!,1
很清楚 詳細,0
未寫,1
還可以,1
Student內的變數未初始化,0
Good 註解符合規範,0
"符合Google Style規範 
",0
註解有符合JavaDoc規範,0
應該是沒寫啦,1
下次加一下,1
空空如也,1
剪刀石頭布輸入錯誤應該是重輸剪刀石頭布不是局數,0
Setter沒刪掉,0
否，題目不需要將所有的蛋糕一個一個印出來，只需要印出全部蛋糕的總價即可。,0
main函式裡的變數依舊不符合規定,0
沒有將輸入的猜拳字串轉換為Enum型態並存入陣列,0
是，符合Javadoc,0
符合規定,0
整齊，google checks檢查沒問題,0
NICE喔,1
符合類別命名標準,0
有些變數沒初始化,0
讚讚有符合,1
皆有符合題目需求,0
HighSpeedRail & Train 的setter &getter沒寫到,0
不是印Hello world,0
兩個都沒有javadoc,0
if 跟 switch都用到讚,0
不太確定 你使用的版本好像跟我不同，我沒辦法跑check style,0
"OrderCake的排版CheckStyle會報錯，calcPrice()和{}要加空白
return 之後的getWeight() * getRate() ，*前後要加上空格
可以用ctrl+Alt+L整理排版",0
否，此人沒寫作業,0
String input 忘記初始化,0
助教 有說過switch不能以較新版本的寫法 這樣我沒辦法執行程式,0
BMIZ方法只要B大寫喔,0
這堂課要用space不是tab喔~,0
沒有正確縮排,0
"空
",1
Good 註解都符合規範,0
沒有方法,1
有符合規範,0
分出勝負後沒有結束遊戲,0
沒問題，但javadoc只有句號,0
Advancedgame 少一個javadoc,0
"a.play(user) 要改成 flag = a.play(user) 不然永遠為true，且最後若已結束遊戲要印""Game over.""
",0
註解有解釋清楚,0
無須輸出各項成績，請將第25行註解掉,0
good!,1
"請在main之前解釋args的作用
ex : 
* @param args input parameters.",0
ok中規中矩的完成了,0
"public ReadyMadeCake(String name, double rate, int quanity) 中的quanity拼字錯誤",0
完全符合，讚讚~,1
程式碼簡潔整齊，讚讚,0
否 第一次應該是enter 不是re enter,0
"Main.java 第74行 , 應有空格 OrderCake.java , ReadyMadeCake.java 第一行 { 前應有空格 ",0
"good
",1
正確，可以增加註解能幫助更快速理解程式。,0
類別命名正確,0
有整齊，好閱讀,0
"有符合
",1
符合! 讚,1
"1. startGame方法中的j永遠都是=1，所以電腦隨機生成Gesture永遠都是paper/paper/paper   
2. compare方法中判斷輸贏是錯誤的   
3. 回傳結果為""You win!""和""You lose!""都要輸出""Game over.""，只有""You win!""符合   ",0
題目寫將系統生成之手勢與使用者輸入之手勢相比較並將結果存入字串陣列中,0
是，方法命名符合標準,0
"註解得很好
Scanner有close，超棒的!",0
變數命名正確,0
有 你寫的程式碼看起來很聰明 我喜歡,1
"1. 如果平手輸入一樣的會一直平手
2. 題目要求Game裡的成員變數要用private
3. 題目要求記錄勝負的陣列是用字串型別不是整數型別",0
有一個沒寫,1
GeneralGame.java和AdvancedGame.java，Switch 块未定义 default 。[MissingSwitchDefault],0
符合google規範,0
要寫註解喔~,0
跟助教講解的不同，用了Math.round很特別,0
版面好漂亮><,1
Student.java的第二行、第四十行、第五十二行沒有javadoc,0
沒用,1
請輸入的文字那邊quantity打成weight,0
整齊,1
switch的打法錯誤，建議將case 2改成default或是default中的內容清除只留下break,0
局數輸錯要輸出Please re-enter game count.(3 or 5)和Please enter game count.(3 or 5),0
結果皆有符合題目需求,0
"是 有達到 很棒棒
",1
有印出Hello World!字樣,0
註解未用JavaDoc,0
輸出完全符合題目要求,0
"/**
 *
 *
 *@param args 註解
 */
main funtion上少了這個@param args",0
有，皆有註明,0
newtBMI宣告與第一次使用距離太遠(看google checks),0
下次記得寫註解,0
每個class皆沒有寫JavaDoc,0
Checkstydle未通過，完全沒有註解,0
"沒有改過：* @param name input parameters. * @param age input parameters. * @param height input parameters. * @param weight input parameters. public Student(String name, int age, double height, double weight) 每一個public只要有輸入或return都要記得JavaDoc * @param return name public String getName() { return name; }",0
過了，元旦快樂,1
"中規中矩，但totalNumber使用者不知道這是啥阿~~
",0
有，但是JavaDoc內容過於簡略,0
否，ordercake有問題,0
目前不用,0
要寫JavaDoc喔><,0
有...,1
不符合Google check,0
第一個物件助教的意思應該是身高體重自己設計去跑BMI 不是直接輸出24.86,0
沒有打JavaDoc,0
game tie need to continue playing,0
否，程式無法跑,0
"是,非常棒",1
re-enter會存到之前的結果,0
目前有寫到的是對的,0
多或缺空格空行 不符規定,0
很棒 都有符合規範,0
裡面只有老師給的檔案，是沒push 上來嗎?,0
沒寫,1
你沒寫所以就沒有錯,1
可以加一點點註解,0
缺少 JavaDoc,0
符合!,1
是的，排版整齊乾淨,0
都有達到,1
不符合Google Checkstyle標準,0
沒寫(是沒上傳到嗎@@),0
Student檔案缺少javaDoc，google check 有顯示。,0
請繳交完整程式碼,0
"Google check 回傳：
1. First sentence of javadoc missing the end period.
   -> class object 和 method 上的第一段描述結尾要加上英文的句點
2. Javadoc tag '@param' should be preceded with an empty line.
   -> @param 上一行要為空行，小心一個space也不能有，不然也會被google check所檢查",0
height weight 變數未初始化,0
compare要回傳String[]才行，然後要在Main檔裡面判斷後輸出遊戲結果，不要懷疑，因為我一開始也是跟你寫一樣概念，問了助教也被要求要改了，很白癡的題目，所以請更正吧,0
兩題皆沒有傳入參數的說明,0
是，完全沒有問題,1
若輸入錯誤要三個全部重輸 ( i--要改掉 改成 i = 0 ),0
"Main.java, Gesture.java 缺少 javadoc",0
"pass
",1
14行的score沒有初始化,0
有整齊，方便閱讀,0
"Input taxi driver: K
Input taxi price: 5
Input taxi way: 20
Input train driver: L
Input train price: 2.3
Input train road: 6
Input train driver: I
Input train price: 6.6
Input train road: 3
All driver and price
K 100.0
L 13.799999999999999
I 19.799999999999997

output 再進行些微修改會更好",0
不符合規定,0
是，整齊乾淨,1
很多地方沒有按規定用空格。,0
記得要寫註解~,0
"Main的第二個JavaDoc
/**
   * This is the main method.
   * @ param args  ( 這裡要加上參數的說明  範例在 物件導向設計實習 - 4 - ProgEdu P41的第二個)
   */",0
並沒有寫作業，檔案全空白,0
"	
輸出要是整數，因為題目測試結果沒有小數點",0
這次不用印變數,0
"按照題目要求，compareGame()要改成compare()
系統生成手勢與使用者輸入手勢比較之結果要存入「字串陣列中」
Please enter the gesture.改成Please enter your gesture.
輸出遊戲結果要在Main class裡不是Game class
跟助教確認過，輸入錯誤只需要重新輸入一個，不需要三個都重新輸入
",0
是 排版整齊,0
沒有符合google check style的，而且老師說把PlayGenerate改成PlayGenerator，現在多一個PlayGenerate的file,0
好棒,1
題目要求總共只有5個，PlayGenerator應該是將原先錯誤的PlayGenerate重新命名,0
StringOperation.java的length打成lenth了,0
Game tie 没有.,0
應該ㄅ,1
是，score以及average都有提及,0
"1. 成員變數要private
2. 勝負要用字串存",0
"還是沒有更改喔~是不是忘了
Student檔第19行註解格式錯誤",0
沒有寫JavaDoc,0
Good 命名都符合標準,0
清楚可以理解。 (This is the demo of handing HW 結尾好像少了 . ),0
good啦,1
是，輸出完全符合,0
google表示不喜歡你的排版,1
output有誤，數字打錯,0
"game count 輸入5後，還是會多印出了""Please re-enter the gesture.""",0
執行結果符合，但變數個數未達到要求,0
是的，符合JavaDoc規範  。,0
小數點後只會輸出00,0
沒有 記得加喔~~,1
符合題目敘述 很棒,0
作業正確,0
符合，寫得很好,1
棒棒棒棒,1
某些情況會印出數字,0
第一題是要印 “Hello ANDY !”,0
依舊沒寫,1
沒做功課喔!!,1
平均值應該每一組獨立輸出,0
有印出要求!讚,0
下次跟標準,1
割你裡面沒東西,1
輸入錯誤之後重新輸入三次沒有跑出結局,0
沒有用到java doc,0
大致整齊，把type去掉就更棒了,0
"排版整齊
",0
未依題目指示作答,0
整齊喔,1
"使用 google check style 會出現很多問題，像是for (int i ...)，""for""與""( )""中間要隔一個空格",0
多或少了空格空行 不符規定,0
GOOD!!註解寫得非常清楚,0
Good 有印出Hello World!,0
有!!!,1
清晰易懂喔,0
目前最棒的一個！,1
Main.java，main上方須寫上傳入值args的解釋，EX: @param args input parameters.。 Student.java，兩個建構子及get、set函式皆須加上javadoc，@param用在解釋傳入值，@return用在解釋回傳值。,0
"public abstract double calcPrice(double rate, double weight, int quantity); 括號裡不用放東西",0
正確,1
"否，Cake檔裡面的name, rate，OrderCake.java裡的weight，ReadyMadeCake裡的quantity及Main檔裡面的name, rate, weight, quantity均未作初始化。",0
"否,沒有寫JavaDoc",0
"google checks 大噴錯
所有的for、while後面都要有空格
{}前面也要空格",0
輸出文字未達要求，並且輸出型態為Int(應為Float、Double),0
沒用到,1
"第三行輸出,Name改成BMI",0
15行應改為 : Cake[] array = new Cake[5];,0
There's nothing.,0
ReadyMadeCake的數量計算有誤,0
